codigo,familia,proveedor,contenido_peso,contenido_cantidad,detalle,fecha_actualizacion_costo,costo_usd,costo_ars,costo_unitario_ars,color_origen
135FRA2,FRAGANCIA,AROMATICA,1000,1,FRAGANCIA 37052 AIRE,2026-03-31,46.7,68882.5,68882.5,VERDE
135FRA3,FRAGANCIA,AROMATICA,1000,1,FRAGANCIA 37051 PAZ,2026-06-29,37.3,55017.49999999999,55017.49999999999,VERDE
135FRA4,FRAGANCIA,AROMATICA,1000,1,FRAGANCIA 38635,2022-03-22,37.3,55017.49999999999,55017.49999999999,VERDE
135FRA5,FRAGANCIA,AROMATICA,1000,1,FRAGANCIA 38636,2022-03-23,27.6,40710,40710,VERDE
135FRA6,FRAGANCIA,AROMATICA,1000,1,CHICLE PUMITA GE-40970,4835-02-07,24.7,36432.5,36432.5,VERDE
135FRA7,FRAGANCIA,AROMATICA,1000,1,FRAMBUESA 15073,,16,23600,23600,VERDE
392ENV,ENVASE,PIROPLAST,200,1,ENVASE LISBOA 125ml. CRISTAL,2024-06-06,0.127,187.325,187.325,ROJO
391BOM,BOMBA,ENTAPLAST,,1,BOMBA SPRAY ROSA 24/410,2025-02-12,0.07,103.25000000000001,103.25000000000001,ROJO
393BOM,BOMBA,ENTAPLAST,,1,BOMBA SPRAY TURQUESA 24/410,2025-02-12,0.07,103.25000000000001,103.25000000000001,ROJO
395BOM,BOMBA,ENTAPLAST,,1,BOMBA SPRAY VIOLETA 24/410,2025-02-12,0.07,103.25000000000001,103.25000000000001,ROJO
391BOM,BOMBA,AMP SPRAY,,1,BOMBA SPRAY ROSA 24/410,2026-03-17,,154.09,154.09,ROJO
135ET,ETIQUETA,ELGART,1,12,ETIQUETA SANITIZANTE,,3.72,2752.8,229.4,AMARILLO
391ET,ETIQUETA,DARACT,,1,ETIQUETA FRENTE SANITIZANTE AMOR 200ML,2024-01-26,,90.55,90.55,AMARILLO
391ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE AMOR 200ML,2024-01-26,,71.15,71.15,AMARILLO
392ET,ETIQUETA,DARACT,,1,ETIQUETA FRENTE SANITIZANTE AMOR 125ML,2024-01-26,,71.15,71.15,AMARILLO
392ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE AMOR 125ML,2024-01-26,,71.15,71.15,AMARILLO
393ET,ETIQUETA,DARACT,,1,ETIQUETA FRENTE SANITIZANTE AIRE 200ML,2024-01-26,,90.55,90.55,AMARILLO
393ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE AIRE 200ML,2024-01-26,,71.15,71.15,AMARILLO
394ET,ETIQUETA,DARACT,,1,ETIQUETA FRENTE SANITIZANTE AIRE 125ML,2024-01-26,,71.15,71.15,AMARILLO
394ETD,ETIQUETA,DARACT,,1,ETIQUETA DORSO SANITIZANTE AIRE 125ML,2024-01-26,,71.15,71.15,AMARILLO
